filename,runtime_seconds,count
nusmv.tcas^4.B-f3.cnf,30.887250862,0
bt-2x6_15.ig.cnf,1.060371373,0
test3_quant2.cnf,.067250978,0
cmu.dme2.B-f3.cnf,30.736000628,0
sat18_problem10_length_2.cnf,720.003056689,TIMED OUT
Adder2-10-s.cnf,32.669215210,0
gttt_2_2_000111_4x4_torus_w.cnf,159.871559891,0
LoginService.cnf,22.030492627,0
browne_5x5_07.pg.cnf,2.301747508,0
stmt17_70_90.cnf,11.856251678,0
mitexams_problem10_length_3.cnf,720.003271871,TIMED OUT
sortnetsort9.v.stepl.007.cnf,3.208360842,0
sortnetsort9.AE.stepl.007.cnf,287.426183397,0
stmt23_72_76.cnf,8.024436967,0
add5_REDUCED.cnf,12.253085566,0
amba3b5y.sat.cnf,10.196358159,1
L2-telatko34.cnf,11.434700272,0
sat18_problem11_length_2.cnf,720.008254952,TIMED OUT
bt2nd-3x4_12.ig.cnf,.839085030,0
network_ndis_rtlnwifi_hw_hw_ccmp.c.cnf,96.434187636,0
GuidanceService2.cnf,5.689811021,0
5-5-6-3-3-81-EdAu.cnf,720.003213474,TIMED OUT
ldomino-19-winA-true-end.qcnf.cnf,54.025690747,0
gttt_2_2_000111_4x4_torus_b.cnf,158.701801382,0
connect-3x3_9_connect3.ig.cnf,.413408428,0
test1_quant3.cnf,.806633625,0
Adder2-8-c.cnf,11.262746150,0
sortnetsort9.AE.stepl.009.cnf,287.567341849,0
nreachq_query54_1344n.cnf,720.003534241,TIMED OUT
bt2nd-3x6_10.ig.cnf,.790557432,0
5-5-4-4-3-15-EuAu.cnf,720.003305666,TIMED OUT
connect-6x6_9_connect3.ig.cnf,.656826157,0
test5_quant_squaring5.cnf,.356974326,0
ntrivil_query71_1344n.cnf,720.003195068,TIMED OUT
L1-telatko20.cnf,192.175886368,0
ldomino-19-winA-true-after.qcnf.cnf,53.947097650,0
sat18_problem12_length_2.cnf,720.005837881,TIMED OUT
L2-telatko30.cnf,52.909900613,0
gttt_1_1_00101121_4x4_torus_w.cnf,127.026879594,0
L2-telatko1.cnf,126.729856534,0
alkene_problem01_length_2.cnf,720.003397293,TIMED OUT
bt2nd-3x5_12.ig.cnf,1.028651248,0
bt-3x4_19.ig.cnf,1.743967728,0
reachqu_query71_1344.cnf,198.617750712,0
k_branch_n-11.cnf,720.003095998,TIMED OUT
test2_quant_squaring2.cnf,7.446297156,0
ConcreteActivityService.cnf,11.423382209,0
ldomino-17-winB-false-after.qcnf.cnf,23.753233932,0
stmt41_160_235.cnf,1.305337815,0
add7_REDUCED.cnf,22.957924553,0
stmt19_83_412.cnf,2.661804589,0
usb-phy-fixpoint-3.cnf,12.121609822,0
C5315.blif_0.10_0.20_0_0_out_exact.cnf,5.191318764,0
sc-ungrounded-2x1X1x2_2.cnf,354.719297695,0
gttt_2_1_001020_4x4_torus_w.cnf,163.760613183,0
k_branch_n-12.cnf,490.067503863,0
bt-2x5_17.ig.cnf,1.295670596,0
stmt23_66_96.cnf,11.008036451,0
connect-5x5_11_connect4.ig.cnf,.926153409,0
neclaftp2002.cnf,213.019497914,0
stmt17_82_98.cnf,16.851926551,0
incrementer-enc08-uniform-depth-33.cnf,111.197770463,0
sc-ungrounded-1x3X3x1_2.cnf,27.501934445,1
L2-telatko2.cnf,720.003062249,TIMED OUT
stmt19_313_412.cnf,4.997921053,0
genbuf10b4n.unsat.cnf,720.005230544,TIMED OUT
unit12_2_b.cnf,720.004246295,TIMED OUT
