filename,runtime_seconds,count
hein_14_5x5-07.pg.cnf,1.571990738,0
hein_09_4x4-07.pg.cnf,1.807296029,0
hein_18_7x7-09.pg.cnf,2.582963638,0
hein_13_5x5-07.pg.cnf,3.455147639,0
hein_05_6x6-09.pg.cnf,4.710347752,0
test4_quant_squaring2.cnf,5.782256944,2
test3_quant_squaring2.cnf,5.412527386,0
hein_19_5x5-11.pg.cnf,7.574320344,0
L2-telatko24.cnf,8.179129111,2
bt2nd-2x4_8.ig.cnf,10.513608020,1
bt-3x6_9.ig.cnf,14.500630363,1
Umbrella_tbm_05.tex.module.000039.cnf,15.653718847,0
connect-5x5_9_connect3.ig.cnf,18.492299925,0
add5_COMPLETE.cnf,22.674605216,0
bt-3x5_11.ig.cnf,24.428636525,2
sc-ungrounded-1x1X1x3_2.cnf,36.458912412,0
nusmv.tcas^2.B-f2.cnf,39.958632226,0
nusmv.tcas^3.B-f2.cnf,42.151688934,0
Adder2-8-s.cnf,42.714003326,0
hein_03_6x6-11.pg.cnf,60.443342410,0
add6_REDUCED.cnf,50.755902199,0
hein_11_5x5-11.pg.cnf,66.146562012,0
sc-ungrounded-1x2X2x2_1.cnf,75.855647233,0
add6_COMPLETE.cnf,79.413377530,2
hein_02_5x5-11.pg.cnf,85.243401433,0
sc-ungrounded-2x1X1x2_1.cnf,77.173927380,0
sortnetsort9.v.stepl.005.cnf,94.513819560,2
hein_16_5x5-11.pg.cnf,109.062522642,0
bt2nd-2x5_10.ig.cnf,112.351113246,0
Adder2-14-s.cnf,152.054431710,0
amba2c7n.sat.cnf,35.424392531,2
Adder2-16-s.cnf,275.375068974,0
small-seq-fixpoint-3.cnf,298.006471438,0
adder-12-unsat.cnf,311.063558726,2
nusmv.tcas^4.B-f3.cnf,268.814196614,0
bt-2x6_15.ig.cnf,52.926116249,2
amba2f9n.sat.cnf,450.339919030,1
bt2nd-2x6_14.ig.cnf,455.304036327,1
Adder2-10-s.cnf,80.546618073,0
add7_COMPLETE.cnf,591.087660635,1
sortnetsort9.v.stepl.007.cnf,317.717719822,2
unit11_3_b.cnf,720.005595470,TIMED OUT
W4-Umbrella_tbm_26.tex.moduleQ3.7S.000003.cnf,720.006351007,TIMED OUT
5-5-4-4-3-70-EuAd.cnf,720.008486538,TIMED OUT
C6288.blif_0.10_0.20_0_0_inp_exact.cnf,720.007757050,TIMED OUT
ldomino-20-winB-false-end.qcnf.cnf,720.007254195,TIMED OUT
sc-ungrounded-1x2X2x3_1.cnf,720.010394082,TIMED OUT
5-5-3-4-3-49-EdAd.cnf,720.003963318,TIMED OUT
IssueServiceImpl.cnf,720.004357996,TIMED OUT
